HMDBID,Genus,Metabolite,Health effect,Health effect Class,Organoleptic effect,Correlation_Type,Control,Obesity,T2D
HMDB0000254,Acidaminococcus,succinic acid,Circulatory system disorder,Cardiovascular,Taste,negative,-0.365760494,-0.28590981,-0.348398354
HMDB0000254,Acinetobacter,succinic acid,Circulatory system disorder,Cardiovascular,Taste,negative,-0.500459225,-0.57836211,-0.46418902
HMDB0000254,Aeromonas,succinic acid,Circulatory system disorder,Cardiovascular,Taste,negative,-0.4872678,-0.327407026,-0.308980858
HMDB0000254,Agathobacter,succinic acid,Circulatory system disorder,Cardiovascular,Taste,negative,-0.575574031,-0.547922841,-0.343387263
HMDB0000254,Alistipes,succinic acid,Circulatory system disorder,Cardiovascular,Taste,positive,0.443169499,0.35100561,0.448472999
HMDB0000254,Alloprevotella,succinic acid,Circulatory system disorder,Cardiovascular,Taste,positive,0.529442719,0.512039991,0.321054219
HMDB0000254,Anaerobiospirillum,succinic acid,Circulatory system disorder,Cardiovascular,Taste,negative,-0.515737865,-0.542596638,-0.26832286
HMDB0000254,Asteroleplasma,succinic acid,Circulatory system disorder,Cardiovascular,Taste,positive,0.45,0.438704877,0.314956481
HMDB0000254,Barnesiella,succinic acid,Circulatory system disorder,Cardiovascular,Taste,positive,0.503606798,0.315376304,0.405481508
HMDB0000254,Butyricicoccus,succinic acid,Circulatory system disorder,Cardiovascular,Taste,negative,-0.508919936,-0.412868244,-0.224206035
HMDB0000254,CAG-352,succinic acid,Circulatory system disorder,Cardiovascular,Taste,positive,0.474952858,0.462499609,0.260983387
HMDB0000254,Christensenellaceae_R-7_group,succinic acid,Circulatory system disorder,Cardiovascular,Taste,negative,-0.515737865,-0.486657053,-0.178982716
HMDB0000254,Colidextribacter,succinic acid,Circulatory system disorder,Cardiovascular,Taste,positive,0.463399814,0.204801663,0.166477463
HMDB0000254,Collinsella,succinic acid,Circulatory system disorder,Cardiovascular,Taste,positive,0.345346933,0.373976708,0.286489614
HMDB0000254,Coprococcus,succinic acid,Circulatory system disorder,Cardiovascular,Taste,positive,0.451803399,0.383589874,0.507845452
HMDB0000254,Elusimicrobium,succinic acid,Circulatory system disorder,Cardiovascular,Taste,negative,-0.513049517,-0.472938104,-0.133071848
HMDB0000254,Escherichia,succinic acid,Circulatory system disorder,Cardiovascular,Taste,negative,-0.649937144,-0.378615521,-0.208231025
HMDB0000254,Escherichia-Shigella,succinic acid,Circulatory system disorder,Cardiovascular,Taste,negative,-0.636338998,-0.307409339,-0.309619225
HMDB0000254,Family_XIII_UCG-001,succinic acid,Circulatory system disorder,Cardiovascular,Taste,negative,-0.465967478,-0.390754276,-0.224447632
HMDB0000254,Flavonifractor,succinic acid,Circulatory system disorder,Cardiovascular,Taste,negative,-0.450481853,-0.371292142,-0.455092602
HMDB0000254,Helicobacter,succinic acid,Circulatory system disorder,Cardiovascular,Taste,negative,-0.468328157,-0.582130726,-0.135977509
HMDB0000254,Lactococcus,succinic acid,Circulatory system disorder,Cardiovascular,Taste,negative,-0.300181915,-0.474869808,-0.373659431
HMDB0000254,Megamonas,succinic acid,Circulatory system disorder,Cardiovascular,Taste,negative,-0.498885438,-0.370475354,-0.445699661
HMDB0000254,Monoglobus,succinic acid,Circulatory system disorder,Cardiovascular,Taste,negative,-0.585967478,-0.382640886,-0.226169763
